timestamp,headline,sentiment_score,sentiment,relevant_words,headline_spanish,headline_italian
2023-06-18 18:40:12,Delta is the most overbought stock on Wall Street right now. Here are the others,0.39285714285714285,Positive,"['Delta', 'is', 'the', 'most', 'overbought', 'stock', 'on', 'Wall', 'Street', 'right', 'now', '.', 'Here', 'are', 'the', 'others']",Delta es la acción más sobrecomprada en Wall Street en este momento. Aquí están los otros,Delta è il titolo più ipercomprato di Wall Street in questo momento. Ecco gli altri
2023-06-18 18:40:12,This compact fund beats the market and provides a downside cushion,0.0,Neutral,"['This', 'compact', 'fund', 'beats', 'the', 'market', 'and', 'provides', 'a', 'downside', 'cushion']",Este fondo compacto supera al mercado y proporciona un colchón a la baja,Questo fondo compatto batte il mercato e fornisce un cuscino al ribasso
2023-06-18 18:40:12,Blinken meets Chinese Foreign Minister Qin Gang in high-stakes diplomatic trip,-0.0625,Neutral,"['Blinken', 'meets', 'Chinese', 'Foreign', 'Minister', 'Qin', 'Gang', 'in', 'high-stakes', 'diplomatic', 'trip']","Blinken se reúne con el ministro de Relaciones Exteriores de China, Qin Gang, en viaje diplomático de alto riesgo",Blinken incontra il ministro degli Esteri cinese Qin Gang in un viaggio diplomatico ad alto rischio
2023-06-18 18:40:12,The Japanese equity rally could broaden out. Some small caps may get a boost ,-0.125,Neutral,"['The', 'Japanese', 'equity', 'rally', 'could', 'broaden', 'out', '.', 'Some', 'small', 'caps', 'may', 'get', 'a', 'boost']",El repunte de las acciones japonesas podría extenderse. Algunas empresas de pequeña capitalización pueden recibir un impulso,Il rally dell'azionario giapponese potrebbe ampliarsi. Alcune maiuscole possono ottenere una spinta
2023-06-18 18:40:12,"The IPO market may put pressure on the Fed, Cramer says",0.0,Neutral,"['The', 'IPO', 'market', 'may', 'put', 'pressure', 'on', 'the', 'Fed', ',', 'Cramer', 'says']","El mercado de OPI puede ejercer presión sobre la Fed, dice Cramer","Il mercato delle IPO potrebbe esercitare pressioni sulla Fed, afferma Cramer"
2023-06-18 18:40:12,"Wait for a price break next week while the market's overbought, Jim Cramer says",0.0,Neutral,"['Wait', 'for', 'a', 'price', 'break', 'next', 'week', 'while', 'the', 'market', ""'s"", 'overbought', ',', 'Jim', 'Cramer', 'says']","Espere una ruptura de precios la próxima semana mientras el mercado está sobrecomprado, dice Jim Cramer","Aspetta una rottura dei prezzi la prossima settimana mentre il mercato è ipercomprato, dice Jim Cramer"
2023-06-18 18:40:12,Jim Cramer explains why Domino's Pizza stock soared this week,0.0,Neutral,"['Jim', 'Cramer', 'explains', 'why', 'Domino', ""'s"", 'Pizza', 'stock', 'soared', 'this', 'week']",Jim Cramer explica por qué las acciones de Domino's Pizza se dispararon esta semana,Jim Cramer spiega perché le scorte di Domino's Pizza sono aumentate vertiginosamente questa settimana
2023-06-18 18:40:12,"Cramer's Lightning Round: Dominion Energy is ""a little too risky""",-0.19375,Neutral,"['Cramer', ""'s"", 'Lightning', 'Round', ':', 'Dominion', 'Energy', 'is', '``', 'a', 'little', 'too', 'risky', ""''""]","Lightning Round de Cramer: Dominion Energy es ""demasiado arriesgado""","Cramer's Lightning Round: Dominion Energy è ""un po' troppo rischioso"""
2023-06-18 18:40:12,Nvidia gets price target hike amid 10% weekly gain. Here's what the pros say,0.0,Neutral,"['Nvidia', 'gets', 'price', 'target', 'hike', 'amid', '10', '%', 'weekly', 'gain', '.', 'Here', ""'s"", 'what', 'the', 'pros', 'say']",Nvidia obtiene un aumento de precio objetivo en medio de una ganancia semanal del 10%. Esto es lo que dicen los profesionales,Nvidia ottiene un aumento dell'obiettivo di prezzo con un guadagno settimanale del 10%. Ecco cosa dicono i professionisti
2023-06-18 18:40:12,Toyota defies skeptics as stock seals best week since 2009,1.0,Positive,"['Toyota', 'defies', 'skeptics', 'as', 'stock', 'seals', 'best', 'week', 'since', '2009']",Toyota desafía a los escépticos y las acciones sellan la mejor semana desde 2009,Toyota sfida gli scettici mentre le azioni sigillano la migliore settimana dal 2009
